Player,Mat,Inns,Runs,HS,Ave,BF,SR,100s,50s,0s,4s,6s,BT
O Bascome (BMUDA),11,11,147,37,13.36,147,100,0,0,1,12,8,0
CD Wallace (SCOT),19,14,146,27,18.25,122,119.67,0,0,1,14,2,1
Karim Janat (AFG),21,13,145,26,13.18,140,103.57,0,0,2,11,6,1
Wahab Riaz (PAK),31,17,145,30,13.18,118,122.88,0,0,2,10,6,0
M Klinger (AUS),3,3,143,62,47.66,112,127.67,0,1,0,12,2,1
Mohammad Naim (BDESH),3,3,143,81,47.66,107,133.64,0,1,0,17,3,1
Ehsan Khan (HKG),15,10,142,42,35.5,128,110.93,0,0,0,9,7,1
KMA Paul (WI),18,12,142,29,20.28,123,115.44,0,0,0,8,8,1
Umar Amin (PAK),14,9,142,47,15.77,123,115.44,0,0,3,15,4,1
Faran Afzal (ESP),9,8,141,59,20.14,140,100.71,0,1,0,11,6,1
Sarfaraz Ali (BAH),4,4,141,59,35.25,87,162.06,0,1,0,17,8,1
S Periyalwar (ROM),4,4,140,105,70,91,153.84,1,0,1,15,6,1
GD Phillips (NZ),11,10,140,56,15.55,140,100,0,1,0,9,5,1
S Pokhriyal (CZK-R),5,4,140,79,35,131,106.87,0,1,0,23,2,1
Riazat Ali Shah (UGA),4,4,140,53,70,108,129.62,0,1,0,8,8,0
AC Voges (AUS),7,5,139,51,46.33,114,121.92,0,1,0,8,2,1
AC Douglas (BMUDA),10,9,138,47,17.25,131,105.34,0,0,0,10,8,1
LB Ferbrache (GUE),9,8,138,55,17.25,142,97.18,0,1,0,6,3,0
IJL Trott (ENG),7,7,138,51,23,144,95.83,0,1,0,9,3,1
KD Mills (NZ),42,19,137,33,11.41,123,111.38,0,0,4,11,5,1
HH Patel (MWI),7,6,137,44,27.4,104,131.73,0,0,0,17,3,0
R Tari (VAN),14,14,137,28,15.22,117,117.09,0,0,2,6,5,0
DF Watts (SCOT),11,9,137,46,15.22,127,107.87,0,0,2,13,3,1
AR White (IRE),18,12,137,29,22.83,128,107.03,0,0,0,12,2,0
Yusuf Ebrahim (PNM),3,3,137,72,68.5,97,141.23,0,1,0,14,5,0
MP Stoinis (AUS),19,14,136,33,15.11,117,116.23,0,0,1,14,2,0
Faisal Khan (Saudi),4,4,134,83,44.66,56,239.28,0,1,1,13,10,1
N Pathan (THAI),4,4,134,54,44.66,106,126.41,0,1,0,8,7,1
Faheem Ashraf (PAK),27,18,133,21,11.08,110,120.9,0,0,4,7,8,0
CH Morris (SA),23,13,133,55,14.77,102,130.39,0,1,3,12,5,0
Awais Ahmed (ESP),9,4,131,102,65.5,101,129.7,1,0,0,6,6,0
GEF Barnett (CAN),5,5,131,36,32.75,136,96.32,0,0,0,16,0,0
PBB Rajapaksa (SL),5,5,131,77,32.75,95,137.89,0,1,0,7,9,1
AC Botha (IRE),14,11,130,38,13,141,92.19,0,0,2,12,1,1
DDP D'Silva (UAE),10,8,130,29,32.5,146,89.04,0,0,1,9,0,1
SS McKechnie (HKG),10,10,130,44,18.57,137,94.89,0,0,1,9,1,0
Naeem Islam (BDESH),10,10,130,28,14.44,114,114.03,0,0,0,8,7,0
CT Mutombodzi (ZIM),13,12,129,32,14.33,133,96.99,0,0,2,9,2,0
SL Malinga (SL),79,30,128,27,7.11,153,83.66,0,0,6,9,4,0
Mirwais Ashraf (AFG),25,19,128,28,11.63,115,111.3,0,0,2,5,8,1
HR Walsh (USA/WI),13,9,128,28,16,129,99.22,0,0,0,8,3,1
CK Coventry (ZIM),13,12,127,30,12.7,90,141.11,0,0,2,14,6,0
PG Fulton (NZ),12,12,127,25,11.54,140,90.71,0,0,2,7,6,0
MA Ouma (KENYA),22,19,127,19,7.05,160,79.37,0,0,3,15,1,0
MJ Prior (ENG),10,8,127,32,21.16,100,127,0,0,1,11,5,1
MWR Stokes (GUE),9,7,127,29,18.14,152,83.55,0,0,0,10,0,1
Najjam Shahzad (PORT),4,3,126,53,126,97,129.89,0,1,0,4,10,1
AJ Redmond (NZ),7,6,126,63,21,84,150,0,1,0,19,2,1
JT Smuts (SA),8,8,126,45,15.75,114,110.52,0,0,1,14,5,0
AT Carey (AUS),25,13,125,37,13.88,101,123.76,0,0,0,10,4,1
Amir Mangal (GER),9,9,124,40,20.66,78,158.97,0,0,0,10,8,0
Mohammed Asghar (KUW),4,4,124,45,31,91,136.26,0,0,0,13,5,0
S Muniandy (MAL),15,13,124,27,13.77,103,120.38,0,0,2,7,7,1
BA Pai (GIBR),4,4,124,52,31,141,87.94,0,1,0,6,1,0
RJ Peterson (SA),21,12,124,34,15.5,113,109.73,0,0,1,13,2,0
R Ashwin (INDIA),46,11,123,31,30.75,115,106.95,0,0,0,14,1,0
AD Mascarenhas (ENG),14,13,123,31,15.37,100,123,0,0,3,8,5,1
SM Sharif (SCOT),42,18,123,26,13.66,100,123,0,0,2,8,3,1
AW Hawkins-Kay (JER),16,13,122,27,15.25,136,89.7,0,0,1,8,0,1
KM Jadhav (INDIA),9,6,122,58,20.33,99,123.23,0,1,0,12,3,1
Muhamad Syahadat (MAL),10,9,122,41,20.33,102,119.6,0,0,0,9,6,1
CN Onwuzulike (NGA),9,9,122,46,15.25,126,96.82,0,0,2,5,5,0
Shadab Khan (PAK),38,14,122,29,13.55,96,127.08,0,0,2,6,6,1
DAJ Bracewell (NZ),18,10,121,44,24.2,83,145.78,0,0,2,6,9,1
KH Pandya (INDIA),18,9,121,26,24.2,92,131.52,0,0,0,8,6,1
DR Martyn (AUS),4,4,120,96,30,74,162.16,0,1,0,11,5,0
Imrul Kayes (BDESH),14,13,119,36,9.15,134,88.8,0,0,4,14,3,0
AA Onikoyi (NGA),9,8,119,49,14.87,144,82.63,0,0,1,8,4,1
SCJ Broad (ENG),56,26,118,18,7.37,118,100,0,0,2,7,3,1
Sajid Cheema (Saudi),5,5,118,47,23.6,97,121.64,0,0,0,12,5,1
JE Taylor (WI),30,15,118,21,13.11,92,128.26,0,0,1,10,6,0
Mehran Khan (OMAN),19,13,117,29,10.63,106,110.37,0,0,1,7,5,1
Mohammad Mithun (BDESH),14,10,117,47,11.7,125,93.6,0,0,2,9,4,1
Naseem Khushi (OMAN),10,8,117,29,19.5,77,151.94,0,0,2,6,8,0
H Singh (GER),7,6,117,44,39,102,114.7,0,0,0,6,3,1
Ziaur Rahman (BDESH),14,12,117,40,13,91,128.57,0,0,3,3,10,1
Aritra Dutta (SGP),8,8,116,33,14.5,114,101.75,0,0,0,8,5,1
Shahzaib Hasan (PAK),10,10,116,35,11.6,130,89.23,0,0,3,13,3,1
K Motlhanka (Botsw),7,7,115,59,16.42,123,93.49,0,1,0,11,2,1
Sami Sohail (MWI),7,5,115,33,115,97,118.55,0,0,0,10,2,1
K Dasan (),3,3,114,74,38,108,105.55,0,1,0,10,2,1
S Kaveri (Mex),7,6,114,43,22.8,146,78.08,0,0,0,9,1,1
WD Parnell (SA),40,13,114,29,28.5,96,118.75,0,0,0,10,3,0
Chirag Suri (UAE),7,7,113,44,18.83,121,93.38,0,0,0,10,2,1
DL Maddy (ENG),4,4,113,50,28.25,80,141.25,0,1,0,12,3,1
M Abdulla (MWI),5,5,112,42,37.33,100,112,0,0,0,11,2,0
Fiaz Ahmed (BAH),4,4,112,62,56,72,155.55,0,1,1,6,8,0
SP Khakurel (NEPAL),8,8,112,56,14,139,80.57,0,1,0,10,1,0
JS Malhotra (USA),6,6,112,38,18.66,104,107.69,0,0,0,12,2,0
Mohammad Boota (UAE),16,12,112,20,14,100,112,0,0,1,7,5,1
Mudassar Muhammad (GER),7,7,112,30,16,135,82.96,0,0,0,5,3,1
AP Devcich (NZ),4,4,111,59,27.75,79,140.5,0,1,0,17,2,0
JO Holder (WI),17,11,111,26,12.33,84,132.14,0,0,2,10,4,1
Imran Ali Butt (BAH),4,4,111,58,27.75,101,109.9,0,2,2,5,6,1
JNK Shannon (IRE),8,8,111,60,13.87,84,132.14,0,1,1,12,5,0
SP Fleming (NZ),5,5,110,38,22,85,129.41,0,0,0,20,0,0
A Lark (Aut),5,4,110,43,27.5,121,90.9,0,0,1,15,0,0
Anwar Ali (PAK),16,11,109,46,15.57,77,141.55,0,0,0,6,6,1
MG Johnson (AUS),30,17,109,28,10.9,95,114.73,0,0,2,8,3,0
T van der Gugten (NL),39,11,109,40,15.57,81,134.56,0,0,1,4,6,0
Harbhajan Singh (INDIA),28,13,108,21,13.5,87,124.13,0,0,1,11,4,0
Mohammad Saifuddin (BDESH),13,9,108,39,18,95,113.68,0,0,0,9,3,1
B Zuiderent (NL),6,6,108,43,21.6,124,87.09,0,0,0,8,1,0
OGL Bascome (BMUDA),11,11,107,22,10.7,117,91.45,0,0,0,12,3,0
SO Ngoche (KENYA),28,18,107,38,8.23,118,90.67,0,0,2,5,4,0
GJ Thompson (IRE),10,8,107,44,15.28,108,99.07,0,0,2,14,1,1
V Vijh (LUX),4,4,107,64,53.5,119,89.91,0,1,0,13,1,1
K Doriga (PNG),17,11,106,43,10.6,103,102.91,0,0,0,3,3,1
NA Maiolo (ITA),8,7,106,39,17.66,104,101.92,0,0,0,11,2,0
MD Dai (PNG),9,8,105,31,13.12,128,82.03,0,0,0,4,0,1
OJ Hairs (SCOT),8,8,105,26,15,64,164.06,0,0,2,4,10,0
JR Hopes (AUS),12,7,105,30,21,98,107.14,0,0,0,7,1,0
ND Laegsgaard (DEN),9,8,105,39,15,96,109.37,0,0,0,11,2,1
M Mosehle (SA),7,6,105,36,21,65,161.53,0,0,0,6,9,0
Meet Bhavsar (KUW),9,7,104,38,17.33,88,118.18,0,0,0,10,1,1
LA Dunbar (Serb),2,2,104,104,104,62,167.74,1,0,1,5,10,0
Sultan Ahmed (OMAN),17,12,104,37,11.55,83,125.3,0,0,3,14,0,1
GP Swann (ENG),39,16,104,34,20.8,89,116.85,0,0,2,9,1,1
SM Davies (ENG),5,5,102,33,20.4,82,124.39,0,0,0,12,0,1
Rehman Abdul (ITA),7,5,102,37,51,103,99.02,0,0,0,7,3,0
Suraj Kumar (OMAN),13,9,102,42,14.57,89,114.6,0,0,0,9,3,1
LJ Tucker (IRE),14,11,102,22,10.2,99,103.03,0,0,1,10,1,1
Ammad Uddin (BAH),4,4,101,40,33.66,53,190.56,0,0,0,11,5,0
MNR Cooray (Mald),4,3,101,56,50.5,77,131.16,0,1,0,12,3,1
S Jora (NEPAL),6,6,101,53,20.2,83,121.68,0,1,1,5,4,1
AV Lalcheta (OMAN),17,10,101,20,12.62,82,123.17,0,0,0,9,4,1
B Lee (AUS),25,12,101,43,16.83,71,142.25,0,0,2,9,4,0
Mohammed Nurji (MWI),6,5,101,36,50.5,59,171.18,0,0,0,8,6,1
T Perera (Botsw),6,6,101,30,16.83,127,79.52,0,0,0,16,0,0
V Shankar (INDIA),9,4,101,43,25.25,73,138.35,0,0,0,11,5,0
S Dhaniram (CAN),11,9,100,26,11.11,123,81.3,0,0,0,6,2,1
Hamza Tariq (CAN),15,11,100,33,10,82,121.95,0,0,2,4,5,1
T Maruma (ZIM),13,13,100,23,11.11,109,91.74,0,0,1,6,4,0
BS Stephenson (Blz),3,3,100,48,33.33,72,138.88,0,0,0,9,7,0
BR Dunk (AUS),5,5,99,32,19.8,69,143.47,0,0,0,8,6,0
BFW de Leede (NL),8,7,98,33,16.33,114,85.96,0,0,0,4,2,1
Irfan Bhima (MWI),4,4,98,52,24.5,88,111.36,0,1,2,13,2,0
Janak Prakash (SGP),12,11,98,25,12.25,78,125.64,0,0,2,9,3,1
BR McDermott (AUS),12,10,98,32,14,105,93.33,0,0,2,6,2,0
TK Musakanda (ZIM),6,6,98,43,16.33,80,122.5,0,0,2,7,2,0
Amir Ali (OMAN),10,8,97,32,19.4,65,149.23,0,0,0,11,2,1
BOP Fernando (SL),3,3,95,78,48.5,73,132.87,0,1,0,10,3,0
